,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
1,2,"г. Барабинск, ул. Халтурина, д. 31А",МУП ЖКХ,8-383-61-24470,1980,1 770.46,79
2,3,"г. Барабинск, ул. Халтурина, д. 33",МУП ЖКХ,8-383-61-24470,1978,268.00,11
3,4,"г. Барабинск, ул. Халтурина, д. 35",МУП ЖКХ,8-383-61-24470,1977,259.70,12
4,5,"г. Барабинск, ул. Халтурина, д. 37",МУП ЖКХ,8-383-61-24470,1979,269.90,6
5,6,"г. Бердск, ул. Тихая, д. 2",ТСЖ «Мостки»,89137607969,—,900.00,—
6,7,"г. Бердск, ул. Тихая, д. 2/1",ТСЖ «Мостки»,89137607969,—,—,—
7,8,"г. Бердск, ул. Тихая, д. 2/2",ТСЖ «Мостки»,89137607969,—,—,—
8,9,"г. Бердск, ул. Тихая, д. 2/3",ТСЖ «Мостки»,89137607969,—,—,—
9,10,"г. Новосибирск, ул. Немировича-Данченко, д. 18/1",ТСЖ «50 лет Октября»,89134513199,—,—,—
10,11,"г. Новосибирск, ул. Индустриальная, д. 7",ЖСК «Березка»,279-00-46,1965,4 566.00,188
11,12,"г. Новосибирск, ул. Трикотажная, д. 33",ЖСК «Весна»,2790403,1965,3 217.00,165
12,13,"г. Новосибирск, ул. Адриена Лежена, д. 10/1",ЖСК «Взлёт»,8-913-947-56-02,1967,6 875.40,200
13,14,"г. Новосибирск, ул. Промышленная, д. 4",ЖСК «Звездочка»,279-35-88,—,—,—
14,15,"г. Новосибирск, ш. Гусинобродский тракт, д. 31",ЖСК «Зорька»,8 913 773 92 83,—,5 869.00,—
15,16,"г. Новосибирск, ул. Адриена Лежена, д. 14",ЖСК «Луна»,89134786449,1969,3 046.40,110
16,17,"г. Новосибирск, ул. Челюскинцев, д. 10",ЖСК «Маяк»,2-21-86-64,1967,—,210
17,18,"г. Новосибирск, ул. Березовая, д. 1",ЖСК «Мечта»,+7(383)3073140,—,—,—
18,19,"г. Новосибирск, ул. Дачная, д. 25/1",ЖСК «Мир»,+7 9612286256,1963,4 147.60,—
19,20,"г. Новосибирск, ул. Ударная, д. 23",ЖК Сибсельмашевец-4,343-33-13,1971,756.00,368
20,21,"г. Новосибирск, ул. Линейная, д. 47",ЖСК «Тайга-2»,236-04-55,—,—,—
21,22,"г. Новосибирск, ул. Доватора, д. 13",ЖСК «Ударник»,(383) 284-98-62,1980,6 273.90,207
22,23,"г. Новосибирск, ул. Печатников, д. 11",ЖСК «Южный-1»,89529141725,1986,2 700.00,127
23,24,"г. Новосибирск, ул. Декабристов, д. 111",ЖСК «Южный-3»,8(283)266-22-47,1989,13 472.00,9
24,25,"г. Новосибирск, ул. Переездная, д. 64",ЖСК «8 МАРТА»,89618484857,1976,8 381.00,410
1,27,"г. Новосибирск, ул. Адриена Лежена, д. 3/1",ЖСК «Аист»,+79133733505,—,—,—
